Symbol,Name,Market,YF_Ticker,CFICode,市場別,產業別,上市日
1101,台泥,TWSE,1101.TW,ESVUFR,上市,水泥工業,1962/02/09
1102,亞泥,TWSE,1102.TW,ESVUFR,上市,水泥工業,1962/06/08
1103,嘉泥,TWSE,1103.TW,ESVUFR,上市,水泥工業,1969/11/14
1104,環泥,TWSE,1104.TW,ESVUFR,上市,水泥工業,1971/02/01
1108,幸福,TWSE,1108.TW,ESVUFR,上市,水泥工業,1990/06/06
1109,信大,TWSE,1109.TW,ESVUFR,上市,水泥工業,1991/12/05
1110,東泥,TWSE,1110.TW,ESVUFR,上市,水泥工業,1994/10/22
1201,味全,TWSE,1201.TW,ESVUFR,上市,食品工業,1962/02/09
1203,味王,TWSE,1203.TW,ESVUFR,上市,食品工業,1964/08/24
1210,大成,TWSE,1210.TW,ESVUFR,上市,食品工業,1978/05/20
1213,大飲,TWSE,1213.TW,ESVUFR,上市,食品工業,1981/04/10
1215,卜蜂,TWSE,1215.TW,ESVUFR,上市,食品工業,1987/07/27
1216,統一,TWSE,1216.TW,ESVUFR,上市,食品工業,1987/12/28
1217,愛之味,TWSE,1217.TW,ESVUFR,上市,食品工業,1989/10/28
1218,泰山,TWSE,1218.TW,ESVUFR,上市,食品工業,1989/11/11
1219,福壽,TWSE,1219.TW,ESVUFR,上市,食品工業,1990/12/01
1220,台榮,TWSE,1220.TW,ESVUFR,上市,食品工業,1991/11/20
1225,福懋油,TWSE,1225.TW,ESVUFR,上市,食品工業,1993/09/27
1227,佳格,TWSE,1227.TW,ESVUFR,上市,食品工業,1994/04/09
1229,聯華,TWSE,1229.TW,ESVUFR,上市,食品工業,1976/07/19
1231,聯華食,TWSE,1231.TW,ESVUFR,上市,食品工業,1995/11/02
1232,大統益,TWSE,1232.TW,ESVUFR,上市,食品工業,1996/02/09
1233,天仁,TWSE,1233.TW,ESVUFR,上市,食品工業,1999/01/20
1234,黑松,TWSE,1234.TW,ESVUFR,上市,食品工業,1999/03/12
1235,興泰,TWSE,1235.TW,ESVUFR,上市,食品工業,2000/09/11
1236,宏亞,TWSE,1236.TW,ESVUFR,上市,食品工業,2001/09/17
1256,鮮活果汁-KY,TWSE,1256.TW,ESVUFR,上市,食品工業,2016/03/17
1301,台塑,TWSE,1301.TW,ESVUFR,上市,塑膠工業,1964/07/27
1303,南亞,TWSE,1303.TW,ESVUFR,上市,塑膠工業,1967/11/05
1304,台聚,TWSE,1304.TW,ESVUFR,上市,塑膠工業,1972/05/20
1305,華夏,TWSE,1305.TW,ESVUFR,上市,塑膠工業,1973/03/05
1307,三芳,TWSE,1307.TW,ESVUFR,上市,塑膠工業,1985/11/23
1308,亞聚,TWSE,1308.TW,ESVUFR,上市,塑膠工業,1986/06/20
1309,台達化,TWSE,1309.TW,ESVUFR,上市,塑膠工業,1986/06/27
1310,台苯,TWSE,1310.TW,ESVUFR,上市,塑膠工業,1987/08/06
1312,國喬,TWSE,1312.TW,ESVUFR,上市,塑膠工業,1988/12/21
1313,聯成,TWSE,1313.TW,ESVUFR,上市,塑膠工業,1989/03/27
1314,中石化,TWSE,1314.TW,ESVUFR,上市,塑膠工業,1991/07/12
1315,達新,TWSE,1315.TW,ESVUFR,上市,塑膠工業,1992/05/09
1316,上曜,TWSE,1316.TW,ESVUFR,上市,建材營造業,1992/10/15
1319,東陽,TWSE,1319.TW,ESVUFR,上市,汽車工業,1994/12/12
1321,大洋,TWSE,1321.TW,ESVUFR,上市,塑膠工業,1999/01/26
1323,永裕,TWSE,1323.TW,ESVUFR,上市,塑膠工業,2000/09/11
1324,地球,TWSE,1324.TW,ESVUFR,上市,塑膠工業,2000/09/11
1325,恆大,TWSE,1325.TW,ESVUFR,上市,塑膠工業,2000/09/11
1326,台化,TWSE,1326.TW,ESVUFR,上市,塑膠工業,1984/12/20
1337,再生-KY,TWSE,1337.TW,ESVUFR,上市,塑膠工業,2011/07/01
1338,廣華-KY,TWSE,1338.TW,ESVUFR,上市,汽車工業,2012/12/19
1339,昭輝,TWSE,1339.TW,ESVUFR,上市,汽車工業,2012/04/24
1340,勝悅-KY,TWSE,1340.TW,ESVUFR,上市,塑膠工業,2013/12/06
1341,富林-KY,TWSE,1341.TW,ESVUFR,上市,塑膠工業,2018/12/24
